PAGE,ALG_GUB,PREDICT_DATE,PREDICT_VIEW,REAL_VIEW
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-09,392497.0,466368.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-10,413410.0,45847.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-11,376189.0,346323.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-12,385911.0,163894.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-13,353713.0,124108.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-14,441103.0,140155.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-15,370780.0,284448.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-16,381695.0,542230.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-17,408268.0,115215.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-18,249860.0,313851.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-19,292887.0,464228.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-20,290197.0,514972.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-21,270588.0,251914.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-22,227332.0,298510.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-23,257858.0,133508.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-24,411855.0,125385.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-25,299877.0,805040.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-26,405477.0,229989.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-27,328884.0,483765.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-28,322931.0,548653.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-29,308641.0,111179.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-30,349723.0,420393.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-07-31,359977.0,441850.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-01,255663.0,325749.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-02,257041.0,80775.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-03,270324.0,301043.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-04,232081.0,459954.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-05,150545.0,92342.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-06,264770.0,93489.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-07,203224.0,157097.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-08,217776.0,73789.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-09,208860.0,42919.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-10,159115.0,28372.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-11,130184.0,66434.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-12,166164.0,50778.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-13,148616.0,650518.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-14,84890.0,84060.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-15,58762.0,230800.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-16,118830.0,426284.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-17,236647.0,415591.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-18,61032.0,515075.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-19,109150.0,217995.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-20,120016.0,505688.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-21,93478.0,931958.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-22,74435.0,112979.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-23,150968.0,503613.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-24,198614.0,89582.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-25,193977.0,236648.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-26,297573.0,72728.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-27,310850.0,156070.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-28,206343.0,192599.0
