PAGE,ALG_GUB,FREQ_YN,FREQ_PARA,TRAIN_EPOCH,TRAINING_DAY_CNT,MAPE,SMAPE,MDAPE,ADJ_MAPE,REV_MAPE,MASE,CORRELATION,MAPE_ARIMA,SMAPE_ARIMA,MDAPE_ARIMA,ADJ_MAPE_ARIMA,REV_MAPE_ARIMA,MASE_ARIMA,CORRELATION_ARIMA,TRAINING_START,TRAINING_END,PELT,RUN_TIME,LOSS_PLOT_FILE
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,0,,30,541,104.82712305577952,33.301739650109276,62.890145649743026,104.82712305577952,94.61104660035772,0.8478578450429525,-0.05433116329254871,107.16265697795808,30.575488454754364,49.49014792650872,107.16265697795808,61.49445487786941,0.7708248036121778,0.031241580642428338,2016-07-09,2017-07-08,False,1623,TrainLossPlot/Informer/Informer_Loss_Special_CreateAccount_commons.wikimedia.org_all-access_all-agents(20160709_20170708).png
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,0,,30,541,94.44327794152787,33.35355807521221,54.195568400470876,94.44327794152787,99.79364402434764,0.8348099691753769,-0.10705936615658396,105.81205260801592,30.403021673700724,48.43726616564209,105.81205260801592,60.64002288666015,0.7714723644454109,0.028375411710687304,2016-07-09,2017-07-08,False,1658,TrainLossPlot/Informer/Informer_Loss_Special_CreateAccount_commons.wikimedia.org_desktop_all-agents(20160709_20170708).png
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,1,"{'m': 7, 'with_intercept': False}",36,166,inf,46.286013945859594,60.10323368868213,60.75940994290971,inf,1.2719358911629675,0.08658145670234446,inf,22.084667044879065,49.25483946394652,49.4189881237985,53.70948972958842,1.0047623240154027,0.03081096687321271,2017-01-24,2017-07-08,True,78,TrainLossPlot/Informer/Informer_Loss_Special_CreateAccount_en.wikipedia.org_all-access_all-agents(20170124_20170708).png
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,1,"{'m': 7, 'with_intercept': False}",35,166,59.915354520691636,44.85544784808645,63.359680879155,59.915354520691636,inf,1.2017473214772054,0.1739123842870477,54.83393812821691,22.367088309179355,51.01826893249603,54.83393812821691,58.23676848277353,0.998407552539727,0.03281767258431306,2017-01-24,2017-07-08,True,79,TrainLossPlot/Informer/Informer_Loss_Special_CreateAccount_en.wikipedia.org_desktop_all-agents(20170124_20170708).png
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,0,,44,541,47.020245752967,17.572122748429102,39.81477625865349,47.020245752967,29.080509371292624,1.3978761573844158,-0.11704499464706061,32.29378112349518,12.872826469528082,21.75647684926341,32.29378112349518,22.063356649640152,0.9409539028713578,0.20552858814819483,2016-07-09,2017-07-08,False,2247,TrainLossPlot/Informer/Informer_Loss_Spezial_Weblinksuche_de.wikipedia.org_all-access_all-agents(20160709_20170708).png
Spezial:Weblinksuche_de.wikipedia.org_desktop_all-agents,Informer,0,,44,541,44.804037486205985,16.817302751662943,35.894542655213336,44.804037486205985,27.804653235930598,1.3241601616722738,-0.10246975515249943,32.293541032024045,12.872692953678403,21.756209336366787,32.293541032024045,22.063050446538465,0.9409557323070504,0.20555209110488878,2016-07-09,2017-07-08,False,2280,TrainLossPlot/Informer/Informer_Loss_Spezial_Weblinksuche_de.wikipedia.org_desktop_all-agents(20160709_20170708).png
Google_en.wikipedia.org_all-access_all-agents,Informer,0,,52,321,inf,41.69109505803735,120.0833773719589,152.4724673128351,inf,10.322676220246409,-0.12620600115582462,inf,30.884909938152916,89.11471112534754,86.80986830480423,46.48585327260849,5.824939979498219,0.0887270654074179,2016-10-27,2017-07-08,True,1030,TrainLossPlot/Informer/Informer_Loss_Google_en.wikipedia.org_all-access_all-agents(20161027_20170708).png
Spezial:Anmelden_de.wikipedia.org_all-access_all-agents,Informer,0,,68,541,148.1406334045783,47.86370853470891,99.12796949588379,148.1406334045783,inf,2.301264659344705,-0.4578106070610107,111.10412964724449,32.93275064092512,86.1961496785162,111.10412964724449,56.56111685328025,1.4688883979437142,0.10266230960894293,2016-07-09,2017-07-08,False,3275,TrainLossPlot/Informer/Informer_Loss_Spezial_Anmelden_de.wikipedia.org_all-access_all-agents(20160709_20170708).png
Special:RecentChangesLinked_en.wikipedia.org_all-access_all-agents,Informer,0,,47,541,52.45518780883485,19.401407711620028,35.36263000944172,52.45518780883485,34.9531986721074,1.5860229529563508,0.20961982500054038,28.838470450304253,13.546208997042328,19.17679217877356,28.838470450304253,29.146016179574,1.0771068564072717,0.6393559047502372,2016-07-09,2017-07-08,False,2435,TrainLossPlot/Informer/Informer_Loss_Special_RecentChangesLinked_en.wikipedia.org_all-access_all-agents(20160709_20170708).png
Spezial:Buch_de.wikipedia.org_all-access_all-agents,Informer,0,,34,151,75.56329184643509,50.56217035134192,73.72928149730762,75.56329184643509,inf,3.080875530647224,0.21938124488516283,118.15128686548096,32.01260051791767,103.96041060239516,118.15128686548096,45.42454030285089,3.750447971413988,0.1668400520778071,2017-02-08,2017-07-08,True,21,TrainLossPlot/Informer/Informer_Loss_Spezial_Buch_de.wikipedia.org_all-access_all-agents(20170208_20170708).png
